epoch,train_acc,val_acc
0,0.6267499923706055,0.1072695031762123
1,0.7620000243186951,0.375
2,0.8065000176429749,0.6710993051528931
3,0.8117499947547913,0.6445035338401794
4,0.8172500133514404,0.7730496525764465
5,0.8372499942779541,0.7748227119445801
6,0.8360000252723694,0.792553186416626
7,0.8462499976158142,0.7278369069099426
8,0.8497499823570251,0.8448581695556641
9,0.8392500281333923,0.8466312289237976
10,0.8557500243186951,0.8439716100692749
11,0.846750020980835,0.8182623982429504
12,0.8389999866485596,0.7934397459030151
13,0.8429999947547913,0.798758864402771
14,0.8447499871253967,0.7198581695556641
15,0.8579999804496765,0.8430851101875305
16,0.8514999747276306,0.8395389914512634
17,0.856249988079071,0.4707446694374084
18,0.8572499752044678,0.7464538812637329
19,0.856249988079071,0.8102836608886719
20,0.8687499761581421,0.7792553305625916
21,0.8675000071525574,0.8280141949653625
22,0.8777499794960022,0.7322695255279541
23,0.878000020980835,0.866134762763977
24,0.8755000233650208,0.7030141949653625
25,0.8567500114440918,0.8182623982429504
26,0.8650000095367432,0.8421986103057861
27,0.875249981880188,0.8590425252914429
28,0.8759999871253967,0.7198581695556641
29,0.8697500228881836,0.6702127456665039
30,0.8600000143051147,0.817375898361206
31,0.8705000281333923,0.8404255509376526
32,0.875,0.866134762763977
33,0.8767499923706055,0.8067376017570496
34,0.8832499980926514,0.832446813583374
35,0.8857499957084656,0.6746453642845154
36,0.8865000009536743,0.8395389914512634
37,0.8802499771118164,0.8572695255279541
38,0.887499988079071,0.8909574747085571
39,0.8917499780654907,0.8102836608886719
40,0.8947499990463257,0.8714538812637329
41,0.8917499780654907,0.9007092118263245
42,0.9024999737739564,0.8891844153404236
43,0.8927500247955322,0.5771276354789734
44,0.8977500200271606,0.875
45,0.8927500247955322,0.7171986103057861
46,0.893750011920929,0.835106372833252
47,0.8922500014305115,0.8546099066734314
48,0.9002500176429749,0.8767730593681335
49,0.9067500233650208,0.8776595592498779
50,0.9100000262260436,0.88741135597229
51,0.8960000276565552,0.8085106611251831
52,0.8930000066757202,0.8572695255279541
